,model,precision,recall,f1-score,support
0,Custom_CNN,0.9647058823529412,0.37962962962962965,0.5448504983388704,216.0
1,Custom_CNN,0.6138328530259366,0.9861111111111112,0.7566607460035524,216.0
2,Custom_CNN,0.6828703703703703,0.6828703703703703,0.6828703703703703,0.6828703703703703
3,Custom_CNN,0.7892693676894389,0.6828703703703705,0.6507556221712114,432.0
4,Custom_CNN,0.7892693676894389,0.6828703703703703,0.6507556221712114,432.0
5,MobileNetV2_Transfer,0.7195121951219512,0.8194444444444444,0.7662337662337663,216.0
6,MobileNetV2_Transfer,0.7903225806451613,0.6805555555555556,0.7313432835820896,216.0
7,MobileNetV2_Transfer,0.75,0.75,0.75,0.75
8,MobileNetV2_Transfer,0.7549173878835562,0.75,0.7487885249079279,432.0
9,MobileNetV2_Transfer,0.7549173878835562,0.75,0.7487885249079279,432.0
10,ResNet50_Transfer,0.738831615120275,0.9953703703703703,0.8481262327416174,216.0
11,ResNet50_Transfer,0.9929078014184397,0.6481481481481481,0.7843137254901961,216.0
12,ResNet50_Transfer,0.8217592592592593,0.8217592592592593,0.8217592592592593,0.8217592592592593
13,ResNet50_Transfer,0.8658697082693574,0.8217592592592593,0.8162199791159067,432.0
14,ResNet50_Transfer,0.8658697082693573,0.8217592592592593,0.8162199791159067,432.0
